site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time
Wind farm site 1 (Nominal capacity-99MW),LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,32.709266662597656,5.7192015756220425,3.3168885707855225,0.9500305652618408,47.73460388183594
Wind farm site 1 (Nominal capacity-99MW),CNN_LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,32.455379486083984,5.696962303375719,3.386942148208618,0.9504184722900391,64.21189045906067
Wind farm site 1 (Nominal capacity-99MW),CNN,96,2,64,0.001,64,2,20,0.2,last_epoch,34.845176696777344,5.902980323258527,3.5713181495666504,0.9467675685882568,41.26526355743408
Wind farm site 2 (Nominal capacity-200MW),LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,98.822021484375,9.940926590835232,5.68043851852417,0.9695296883583069,48.28683805465698
Wind farm site 2 (Nominal capacity-200MW),CNN_LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,96.45267486572266,9.821032270882865,5.600029945373535,0.9702602028846741,65.21420574188232
Wind farm site 2 (Nominal capacity-200MW),CNN,96,2,64,0.001,64,2,20,0.2,last_epoch,117.02852630615234,10.817972374994879,6.975741386413574,0.9639159440994263,41.91179919242859
Wind farm site 3 (Nominal capacity-99MW),LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,15.057215690612793,3.8803628297638344,2.322270631790161,0.9587498903274536,48.03779602050781
Wind farm site 3 (Nominal capacity-99MW),CNN_LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,15.34937858581543,3.9178282996853535,2.4152708053588867,0.9579495191574097,65.20302200317383
Wind farm site 3 (Nominal capacity-99MW),CNN,96,2,64,0.001,64,2,20,0.2,last_epoch,15.650618553161621,3.95608626715364,2.55446457862854,0.9571242332458496,42.008344650268555
Wind farm site 4 (Nominal capacity-66MW),LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,7.12814998626709,2.6698595442957465,1.6029040813446045,0.9837473034858704,48.78055238723755
Wind farm site 4 (Nominal capacity-66MW),CNN_LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,7.793830394744873,2.7917432537296247,1.7479695081710815,0.982229471206665,64.8959629535675
Wind farm site 4 (Nominal capacity-66MW),CNN,96,2,64,0.001,64,2,20,0.2,last_epoch,7.061956882476807,2.6574342668214403,1.621630311012268,0.9838982224464417,42.122371435165405
Wind farm site 5 (Nominal capacity-36MW),LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,3.9321839809417725,1.982973519979975,1.261399269104004,0.9336034059524536,48.37660026550293
Wind farm site 5 (Nominal capacity-36MW),CNN_LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,2.721062660217285,1.6495643849869228,1.0156468152999878,0.9540536999702454,64.26567244529724
Wind farm site 5 (Nominal capacity-36MW),CNN,96,2,64,0.001,64,2,20,0.2,last_epoch,2.8894660472869873,1.6998429478298833,1.1269763708114624,0.9512101411819458,41.61396789550781
Wind farm site 6 (Nominal capacity-96MW),LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,16.364105224609375,4.045257127131646,2.7165377140045166,0.9833987951278687,49.03385376930237
Wind farm site 6 (Nominal capacity-96MW),CNN_LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,18.290536880493164,4.276743723967239,2.9708645343780518,0.9814444780349731,64.8250675201416
Wind farm site 6 (Nominal capacity-96MW),CNN,96,2,64,0.001,64,2,20,0.2,last_epoch,19.498260498046875,4.415683468960029,3.0731253623962402,0.9802192449569702,41.546029567718506
