site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time,site_id
Wind farm site 1 (Nominal capacity-99MW),CNN,96,6,64,0.001,64,2,20,0.2,last_epoch,114.6061553955078,10.705426446223797,7.08462381362915,0.8249567151069641,42.52538800239563,1
Wind farm site 1 (Nominal capacity-99MW),CNN_LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,117.73285675048828,10.850477259111154,6.516324520111084,0.820181131362915,66.13586711883545,1
Wind farm site 1 (Nominal capacity-99MW),LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,154.72506713867188,12.438853127948407,7.336300373077393,0.7636812329292297,47.41795825958252,1
Wind farm site 2 (Nominal capacity-200MW),CNN,96,6,64,0.001,64,2,20,0.2,last_epoch,476.5086975097656,21.829079172282224,14.906105995178224,0.853047788143158,42.41819405555725,2
Wind farm site 2 (Nominal capacity-200MW),CNN_LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,392.35736083984375,19.808012541389505,11.94431972503662,0.8789995312690735,65.78549242019653,2
Wind farm site 2 (Nominal capacity-200MW),LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,661.25146484375,25.714810223755297,16.22587013244629,0.7960743308067322,48.73369264602661,2
Wind farm site 3 (Nominal capacity-99MW),CNN,96,6,64,0.001,64,2,20,0.2,last_epoch,55.83649826049805,7.4723823684617505,5.165651798248291,0.8469057679176331,41.57893776893616,3
Wind farm site 3 (Nominal capacity-99MW),CNN_LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,55.00727081298828,7.4166886690077725,4.592414379119873,0.8491793870925903,65.7597827911377,3
Wind farm site 3 (Nominal capacity-99MW),LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,84.34912109375,9.184177758174654,5.592718601226807,0.7687289714813232,47.60697102546692,3
Wind farm site 4 (Nominal capacity-66MW),CNN,96,6,64,0.001,64,2,20,0.2,last_epoch,29.23423194885254,5.406868959837342,3.5110456943511963,0.9333493709564208,42.00742530822754,4
Wind farm site 4 (Nominal capacity-66MW),CNN_LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,30.92438125610352,5.560969452901492,3.500166416168213,0.9294959902763368,66.01074528694153,4
Wind farm site 4 (Nominal capacity-66MW),LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,41.040035247802734,6.406249702267524,3.8664982318878174,0.9064335227012634,48.63565135002136,4
Wind farm site 5 (Nominal capacity-36MW),CNN,96,6,64,0.001,64,2,20,0.2,last_epoch,13.309295654296877,3.6481907371047466,2.5881237983703613,0.7753432393074036,40.99723482131958,5
Wind farm site 5 (Nominal capacity-36MW),CNN_LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,12.58622932434082,3.5477076153962885,2.1701691150665283,0.7875484228134155,64.28756999969482,5
Wind farm site 5 (Nominal capacity-36MW),LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,17.17129135131836,4.143825690267191,2.747184991836548,0.7101539373397827,47.71688413619995,5
Wind farm site 6 (Nominal capacity-96MW),CNN,96,6,64,0.001,64,2,20,0.2,last_epoch,52.650299072265625,7.256052581966701,5.070130825042725,0.9465897679328918,42.0264630317688,6
Wind farm site 6 (Nominal capacity-96MW),CNN_LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,62.40828323364258,7.899891343154194,5.153357982635498,0.9366909265518188,65.03737092018127,6
Wind farm site 6 (Nominal capacity-96MW),LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,74.18512725830078,8.613078848954117,5.625733375549316,0.9247441291809082,48.33339047431946,6
