horizon_step,mse,mae,r2
1,57.51482391357422,5.272640228271484,0.9416953325271606
2,68.84737396240234,5.708725929260254,0.9301990270614624
3,76.5960693359375,5.923383712768555,0.9223343729972839
4,84.89769744873047,6.228289604187012,0.9139066338539124
5,91.42970275878906,6.380208492279053,0.9072751998901367
6,96.57930755615234,6.54918909072876,0.9020422697067261
7,101.51538848876953,6.705671787261963,0.8970260620117188
8,103.7691650390625,6.747831344604492,0.8947299718856812
9,107.74356842041016,6.887390613555908,0.8906893730163574
10,112.73501586914062,7.035538196563721,0.8856203556060791
11,115.53594970703125,7.133540153503418,0.8827729821205139
12,120.3906021118164,7.2585883140563965,0.8778386116027832
